quoteid,purchasecmpny,dept,reroutersncode,reroutersntxt,reroutecmnt,reroutelastchngts,reroutecmnt_cln
12617809,1001,63,13,IPR Concern,IPR Concern; change pkging desc to emeril,2019-11-04 09:53:31.0,change pkging desc emeril
12617809,1001,63,13,IPR Concern,IPR Concern; Change Packaging Description from Vendor Labeling to Emeril.,2019-11-04 09:53:31.0,change packaging description vendor labeling emeril
12850243,1001,10,13,IPR Concern,IPR Concern; Bluetooth,2019-11-04 06:48:57.0,bluetooth
13373898,1001,10,13,IPR Concern,IPR Concern; Bluetooth,2019-11-04 06:37:59.0,bluetooth
13374756,1001,10,13,IPR Concern,IPR Concern; Bluetooth,2019-11-04 06:22:29.0,bluetooth
13471301,1001,25,13,IPR Concern,IPR Concern; the lab report has references to The Land Of Nod requirements.  LON is a branded name for children's products.This shoe is a Walmart Scoop brand.Please remove all references to Land of Nod from the lab report for this women's sandal.,2019-11-04 03:43:33.0,lab report reference land nod requirement lon branded name child product shoe walmart scoop brand remove reference land nod lab report woman sandal
12763379,1001,9,13,IPR Concern,IPR Concern; is camouflage print trademarked?,2019-11-04 02:19:27.0,camouflage print trademarked
12851490,1001,9,13,IPR Concern,"IPR Concern; Is the camouflage print on this life vest trademarked? If, so please provide a trademark release letter for the print. ",2019-11-04 02:19:09.0,camouflage print life vest trademarked provide trademark release letter print
12679179,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned certificate for Wondertreats.,2019-11-04 01:59:12.0,attach copy woman owned certificate wondertreat
12679179,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned certificate for Wondertreats.,2019-11-04 01:59:12.0,attach copy woman owned certificate wondertreat
12679179,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned certificate for Wondertreats.,2019-11-04 01:59:12.0,attach copy woman owned certificate wondertreat
12679179,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned certificate for Wondertreats.,2019-11-04 01:59:12.0,attach copy woman owned certificate wondertreat
13497430,1001,10,13,IPR Concern,IPR Concern; Please attach an update Ford Trademark Release Letter. The one attached is date 1.1.2017,2019-11-04 01:38:36.0,attach update ford trademark release letter one attached date
13432570,1001,63,13,IPR Concern,IPR Concern; Please attach the Trademark Release Letter for Zhuhai Angel Energy battery.,2019-11-01 15:40:17.0,attach trademark release letter zhuhai angel energy battery
13486863,1001,14,13,IPR Concern,IPR Concern; TML is needed between Bubba and Ignite USA LLC. ,2019-11-01 09:35:08.0,tml needed bubba ignite usa llc
13486863,1001,14,13,IPR Concern,IPR Concern; TML is needed between Bubba and Ignite USA LLC. ,2019-11-01 09:35:08.0,tml needed bubba ignite usa llc
13486863,1001,14,13,IPR Concern,IPR Concern; TML is needed between Bubba and Ignite USA LLC. ,2019-11-01 09:35:08.0,tml needed bubba ignite usa llc
13486863,1001,14,13,IPR Concern,IPR Concern; TML is needed between Bubba and Ignite USA LLC. ,2019-11-01 09:35:08.0,tml needed bubba ignite usa llc
13432990,1001,7,13,IPR Concern,"IPR Concern; Please provide an image of the packaging, front and back",2019-11-01 07:47:06.0,provide image packaging front back
13497744,1001,16,13,IPR Concern,IPR Concern; TRL Snapper,2019-11-01 07:28:42.0,trl snapper
12687410,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned certification for Wondertreats.,2019-11-01 03:02:05.0,attach copy woman owned certification wondertreat
12687410,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned certification for Wondertreats.,2019-11-01 03:02:05.0,attach copy woman owned certification wondertreat
12687410,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned certification for Wondertreats.,2019-11-01 03:02:05.0,attach copy woman owned certification wondertreat
12709086,1001,18,13,IPR Concern,IPR Concern; please attach women owned business certificate,2019-11-01 02:51:02.0,attach woman owned business certificate
12709086,1001,18,13,IPR Concern,IPR Concern; please attach women owned business certificate,2019-11-01 02:51:02.0,attach woman owned business certificate
12709086,1001,18,13,IPR Concern,IPR Concern; please attach women owned business certificate,2019-11-01 02:51:02.0,attach woman owned business certificate
12709135,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned business certification for Wondertreats.,2019-11-01 01:59:12.0,attach copy woman owned business certification wondertreat
12709135,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned business certification for Wondertreats.,2019-11-01 01:59:12.0,attach copy woman owned business certification wondertreat
12709135,1001,18,13,IPR Concern,IPR Concern; Please attach a copy of the Women Owned business certification for Wondertreats.,2019-11-01 01:59:12.0,attach copy woman owned business certification wondertreat
12572837,1001,24,13,IPR Concern,IPR Concern; Lycra attachment is not a trademark authorization letter,2019-10-31 22:35:08.0,lycra attachment trademark authorization letter
12572830,1001,24,13,IPR Concern,IPR Concern; Lycra attachment is not a trademark authorization letter,2019-10-31 22:25:19.0,lycra attachment trademark authorization letter
12572825,1001,24,13,IPR Concern,IPR Concern; Lycra attachment is not a trademark authorization letter,2019-10-31 22:25:18.0,lycra attachment trademark authorization letter
12571352,1001,24,13,IPR Concern,IPR Concern; Lycra attachment is not a trademark authorization letter,2019-10-31 22:25:17.0,lycra attachment trademark authorization letter
12572812,1001,24,13,IPR Concern,IPR Concern; Lycra attachment is not a trademark authorization letter,2019-10-31 22:19:53.0,lycra attachment trademark authorization letter
12572734,1001,24,13,IPR Concern,IPR Concern; Lycra attachment is not a trademark authorization letter,2019-10-31 22:09:10.0,lycra attachment trademark authorization letter
12906409,1001,8,13,IPR Concern,"IPR Concern; 	The TM letter will expire before the ship/entry date. Please attach an updated TM letter that will cover the entry date of May 15, 2020",2019-10-31 19:20:54.0,letter expire ship entry date attach updated letter cover entry date may
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
13355231,1001,17,13,IPR Concern,"IPR Concern; per Sophia Luo, Try Me is not a brand name on the battery.  Please remove this from the material breakdown on all products that show Try Me and from the Hardline Questionnaire if it appears there.",2019-10-31 17:31:14.0,per sophium luo try brand name battery remove material breakdown product show try hardline questionnaire appear
